,name,type,study_title,group_id,study_type,description,has_placebo,has_drug,nums,trailings,trailings_stemmed,doses_obj,no_measure,units
15,Open-label Gabapentin,primary,Pilot Study to Assess Tolerability and Preliminary Efficacy of a Titrated Dose of Gabapentin up to 600mg Administered at Bedtime for Insomnia Symptoms and Nighttime Vasomotor Symptoms (VMS) in Peri- and Postmenopausal Women With VMS.,OG000,Single Group Assignment,"dose titration of 100mg for 1 week, 300mg for 3 weeks, and 600mg for 3 weeks.

gabapentin: the study is a 7-week intervention study using open-label gabapentin at bedtime with a scheduled dose titration from 100-mg for one week, followed by 300-mg for 3 weeks, and then 600-mg for 3 weeks.",False,True,"[100, 1, 300, 3, 600, 3, 7, 100, 300, 3, 600, 3]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","{100: ['mg', 'for', '1'], 300: ['mg', 'for', '3'], 600: ['mg', 'for', '3']}",Unknown,"{100: 'mg', 300: 'mg', 600: 'mg'}"
16,Open-label Gabapentin,primary,Pilot Study to Assess Tolerability and Preliminary Efficacy of a Titrated Dose of Gabapentin up to 600mg Administered at Bedtime for Insomnia Symptoms and Nighttime Vasomotor Symptoms (VMS) in Peri- and Postmenopausal Women With VMS.,OG000,Single Group Assignment,"dose titration of 100mg for 1 week, 300mg for 3 weeks, and 600mg for 3 weeks.

gabapentin: the study is a 7-week intervention study using open-label gabapentin at bedtime with a scheduled dose titration from 100-mg for one week, followed by 300-mg for 3 weeks, and then 600-mg for 3 weeks.",False,True,"[100, 1, 300, 3, 600, 3, 7, 100, 300, 3, 600, 3]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","{100: ['mg', 'for', '1'], 300: ['mg', 'for', '3'], 600: ['mg', 'for', '3']}",Unknown,"{100: 'mg', 300: 'mg', 600: 'mg'}"
17,Open-label Gabapentin,primary,Pilot Study to Assess Tolerability and Preliminary Efficacy of a Titrated Dose of Gabapentin up to 600mg Administered at Bedtime for Insomnia Symptoms and Nighttime Vasomotor Symptoms (VMS) in Peri- and Postmenopausal Women With VMS.,OG000,Single Group Assignment,"dose titration of 100mg for 1 week, 300mg for 3 weeks, and 600mg for 3 weeks.

gabapentin: the study is a 7-week intervention study using open-label gabapentin at bedtime with a scheduled dose titration from 100-mg for one week, followed by 300-mg for 3 weeks, and then 600-mg for 3 weeks.",False,True,"[100, 1, 300, 3, 600, 3, 7, 100, 300, 3, 600, 3]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","{100: ['mg', 'for', '1'], 300: ['mg', 'for', '3'], 600: ['mg', 'for', '3']}",Unknown,"{100: 'mg', 300: 'mg', 600: 'mg'}"
18,Gabapentin,primary,Clinical Trial of Gabapentin to Decrease Postoperative Delirium and Pain in Surgical Patients,OG000,Parallel Assignment,"double blind, placebo controlled

gabapentin: this is a double blind, placebo-controlled experimental study in which gabapentin adjusted for renal clearance (or placebo) is given preoperatively and also the first three postoperative days",False,True,[],[],[],{},True,{}
19,Placebo,primary,Clinical Trial of Gabapentin to Decrease Postoperative Delirium and Pain in Surgical Patients,OG001,Parallel Assignment,"double blind

gabapentin: this is a double blind, placebo-controlled experimental study in which gabapentin adjusted for renal clearance (or placebo) is given preoperatively and also the first three postoperative days",True,False,[],[],[],{},Unknown,{}
20,Gabapentin,primary,Gabapentin for Abstinence Initiation in Alcohol Dependence,OG000,Parallel Assignment,"gabapentin will be titrated over a 7-day period to the dose target or the maximum tolerated dose. the maximum dose will be 1200mg tid. participants must be able to tolerate and comply with at least 400 mg daily.

gabapentin: during week 1 the dosage will be increased 3 times. days 1 and 2, participants will receive 400 mg of gabapentin three times daily. during days 3 and 4 the dosage will be increased to 800 mg three times daily. on day 5 through 7, participants will receive a dose of 1200 mg three times daily, which will continue from week 2 through 8. during week 9 patients will be tapered off for the duration of the week.",False,True,"[7, 1200, 400, 1, 3, 1, 2, 400, 3, 4, 800, 5, 7, 1200, 2, 8, 9]","[['-day', 'period', 'to'], ['mg', 'tid', 'particip'], ['mg', 'daili', 'gabapentin:'], ['200mg', 'tid', 'particip'], ['time', 'day', '1'], ['200mg', 'tid', 'particip'], ['00mg', 'tid', 'particip'], ['mg', 'daili', 'gabapentin:'], ['time', 'day', '1'], ['00', 'mg', 'daili'], ['mg', 'three', 'time'], ['through', '7,', 'particip'], ['-day', 'period', 'to'], ['mg', 'tid', 'particip'], ['00mg', 'tid', 'particip'], ['00', 'mg', 'three'], ['patient', 'will', 'be']]","[['-day', 'period', 'to'], ['mg', 'tid', 'particip'], ['mg', 'daili', 'gabapentin:'], ['200mg', 'tid', 'particip'], ['time', 'day', '1'], ['200mg', 'tid', 'particip'], ['00mg', 'tid', 'particip'], ['mg', 'daili', 'gabapentin:'], ['time', 'day', '1'], ['00', 'mg', 'daili'], ['mg', 'three', 'time'], ['through', '7,', 'particip'], ['-day', 'period', 'to'], ['mg', 'tid', 'particip'], ['00mg', 'tid', 'particip'], ['00', 'mg', 'three'], ['patient', 'will', 'be']]","{1200: ['mg', 'tid', 'particip'], 400: ['mg', 'daili', 'gabapentin:'], 4: ['00', 'mg', 'daili'], 800: ['mg', 'three', 'time'], 8: ['00', 'mg', 'three']}",Unknown,"{1200: 'mg', 400: 'mg', 4: 'mg', 800: 'mg', 8: 'mg'}"
21,Placebo,primary,Gabapentin for Abstinence Initiation in Alcohol Dependence,OG001,Parallel Assignment,"placebo capsules will be administered tid.

placebo: placebo, tid",True,False,[],[],[],{},Unknown,{}
22,Gabapentin 1200mg/Day,primary,Gabapentin Treatment of Cannabis Dependence,OG000,Parallel Assignment,1200mg/day of gabapentin given in conjunction with standardized manual-guided behavioral counseling.,False,True,[1200],"[['mg/day', 'of', 'gabapentin']]","[['mg/day', 'of', 'gabapentin']]","{1200: ['mg/day', 'of', 'gabapentin']}",Unknown,{1200: 'mg'}
23,Placebo,primary,Gabapentin Treatment of Cannabis Dependence,OG001,Parallel Assignment,matched placebo given in conjunction with standardized manual-guided behavioral counseling.,True,False,[],[],[],{},Unknown,{}
24,Hypnotherapy,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG000,Parallel Assignment,patients randomized to the hypnosis arm of the study will undergo individually three one-hour sessions with a certified hypnotherapist. these sessions will be one week apart. patients will also be instructed on the use of self-hypnosis techniques to use at home.,False,False,[],[],[],{},Unknown,{}
25,Gabapentin,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG001,Parallel Assignment,patients randomized to the gabapentin arm will be prescribed 900mg of the drug daily (300 mg by mouth three times daily).,False,True,"[900, 300]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","{900: ['mg', 'of', 'the'], 300: ['mg', 'by', 'mouth']}",Unknown,"{900: 'mg', 300: 'mg'}"
26,Hypnotherapy,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG000,Parallel Assignment,patients randomized to the hypnosis arm of the study will undergo individually three one-hour sessions with a certified hypnotherapist. these sessions will be one week apart. patients will also be instructed on the use of self-hypnosis techniques to use at home.,False,False,[],[],[],{},Unknown,{}
27,Gabapentin,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG001,Parallel Assignment,patients randomized to the gabapentin arm will be prescribed 900mg of the drug daily (300 mg by mouth three times daily).,False,True,"[900, 300]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","{900: ['mg', 'of', 'the'], 300: ['mg', 'by', 'mouth']}",Unknown,"{900: 'mg', 300: 'mg'}"
28,Hypnotherapy,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG000,Parallel Assignment,patients randomized to the hypnosis arm of the study will undergo individually three one-hour sessions with a certified hypnotherapist. these sessions will be one week apart. patients will also be instructed on the use of self-hypnosis techniques to use at home.,False,False,[],[],[],{},Unknown,{}
29,Gabapentin,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG001,Parallel Assignment,patients randomized to the gabapentin arm will be prescribed 900mg of the drug daily (300 mg by mouth three times daily).,False,True,"[900, 300]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","{900: ['mg', 'of', 'the'], 300: ['mg', 'by', 'mouth']}",Unknown,"{900: 'mg', 300: 'mg'}"
30,Hypnotherapy,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG000,Parallel Assignment,patients randomized to the hypnosis arm of the study will undergo individually three one-hour sessions with a certified hypnotherapist. these sessions will be one week apart. patients will also be instructed on the use of self-hypnosis techniques to use at home.,False,False,[],[],[],{},Unknown,{}
31,Gabapentin,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG001,Parallel Assignment,patients randomized to the gabapentin arm will be prescribed 900mg of the drug daily (300 mg by mouth three times daily).,False,True,"[900, 300]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","{900: ['mg', 'of', 'the'], 300: ['mg', 'by', 'mouth']}",Unknown,"{900: 'mg', 300: 'mg'}"
32,Hypnotherapy,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG000,Parallel Assignment,patients randomized to the hypnosis arm of the study will undergo individually three one-hour sessions with a certified hypnotherapist. these sessions will be one week apart. patients will also be instructed on the use of self-hypnosis techniques to use at home.,False,False,[],[],[],{},Unknown,{}
33,Gabapentin,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG001,Parallel Assignment,patients randomized to the gabapentin arm will be prescribed 900mg of the drug daily (300 mg by mouth three times daily).,False,True,"[900, 300]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","{900: ['mg', 'of', 'the'], 300: ['mg', 'by', 'mouth']}",Unknown,"{900: 'mg', 300: 'mg'}"
34,Hypnotherapy,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG000,Parallel Assignment,patients randomized to the hypnosis arm of the study will undergo individually three one-hour sessions with a certified hypnotherapist. these sessions will be one week apart. patients will also be instructed on the use of self-hypnosis techniques to use at home.,False,False,[],[],[],{},Unknown,{}
35,Gabapentin,primary,Comparison of Hypnotherapy Versus Gabapentin in the Treatment of Hot Flashes in Breast Cancer Survivors or Women at Risk of Developing Breast Cancer.,OG001,Parallel Assignment,patients randomized to the gabapentin arm will be prescribed 900mg of the drug daily (300 mg by mouth three times daily).,False,True,"[900, 300]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","[['mg', 'of', 'the'], ['mg', 'by', 'mouth']]","{900: ['mg', 'of', 'the'], 300: ['mg', 'by', 'mouth']}",Unknown,"{900: 'mg', 300: 'mg'}"
