,study_id,measure,type,conditions,single_condition,name,description
10,NCT01301001,Vulvodynia Pain,Secondary,['Vulvodynia'],Vulvodynia,A Controlled Trial of Gabapentin in Vulvodynia: Biological Correlates of Response,"This is a 18-week, randomized, double-blind, placebo-controlled, two-treatment, two-period crossover design, where 120 women between 18 of age and older who report insertional dyspareunia, pain with tampon insertion, and tenderness localized to the vulvar vestibule will be enrolled in the study. Electronically entered daily diaries will be used to determine if pain is lower in PVD subjects when treated with gabapentin (up to 3600 mg/d) compared to when treated with placebo. Biological measurements will include assessment of allodynia and hyperalgesia from capsaicin administration, muscle tension using a vaginal pressure algometer, number of tender points by clinical examination, and changes in blood pressure, pulse and heart rate variability. . The Long-range goals of this project are to explicate the underlying pathophysiologic mechanisms of PVD, and to use this knowledge to create evidence-based differential diagnoses of subtypes of PVD and to individualize treatments for each subtype. The immediate goal is to conduct a multicenter, randomized controlled trial (RCT) of gabapentin treatment for PVD, and which will also provide critical data on a new PVD-testing and response paradigm, as well as on characteristics that may define subtypes of PVD. Gabapentin, an anticonvulsant with analgesic, anxiolytic, and antispasmotic effects, was selected because of its efficacy in treating other neuropathic pain conditions."
11,NCT03123861,Pain During Normal Activities (Surgical Pain Scale Item 2),Primary,['Pelvic Organ Prolapse'],Pelvic Organ Prolapse,Randomized Controlled Trial of Gabapentin Versus Placebo for Postoperative Pain After Sacrospinous Ligament Fixation for Pelvic Organ Prolapse,"Pelvic organ prolapse (POP), the herniation of the bladder, uterus, or rectum, into and often beyond, the vaginal opening, affects 40% of postmenopausal women and significantly impairs quality of life. POP is often managed surgically, and currently, one in every eight women will undergo POP surgery during her lifetime.

A commonly performed procedure for POP is a sacrospinous ligament fixation (SSLF), which is a vaginal surgery that involves suspending the vaginal apex to the sacrospinous ligament suspension with sutures. Beyond routine postoperative pain, a sacrospinous ligament fixation may result in significant gluteal pain as a result of the vaginal sutures affecting/impinging on the sacral nerve roots. Unfortunately, postoperative gluteal pain is not uncommon with 12% of patients reporting significant gluteal pain and 4% having persistent pain 6 weeks after surgery.

This study aims to compare the impact of gabapentin versus placebo on postoperative pain after SSLF. The rationale is that studies have shown that preoperative gabapentin, a non-opioid analgesic, resulted in a lower narcotic use postoperatively. Decreasing the use of standard of care postoperative narcotic pain medications would also decrease adverse events due to narcotics such as nausea, vomiting, and constipation, and potentially decrease the long-term risk of opioid dependence. As an additional benefit, a careful assessment of actual opioid will help to inform best practices for prescribing, as we may be overprescribing narcotic medications for this type of surgery. This study will evaluate a longer two-week course of gabapentin because it is currently standard of care to use gabapentin to treat neuropathic pain after SSLF; thus, gabapentin may help to address overall pain as well as neuropathic gluteal pain that can occur after SSLF. Furthermore, gabapentin is a relatively safe medication with the primary adverse events being dizziness and sedation.

Given the risk of overall postoperative pain and neuropathic gluteal pain after a sacrospinous ligament fixation for POP and the evidence that perioperative gabapentin may decrease acute pain and neuropathic pain, this study proposes a novel randomized trial to compare perioperative gabapentin versus placebo on postoperative pain after a vaginal SSLF surgery."
12,NCT03123861,Gluteal Pain During Normal Activities,Secondary,['Pelvic Organ Prolapse'],Pelvic Organ Prolapse,Randomized Controlled Trial of Gabapentin Versus Placebo for Postoperative Pain After Sacrospinous Ligament Fixation for Pelvic Organ Prolapse,"Pelvic organ prolapse (POP), the herniation of the bladder, uterus, or rectum, into and often beyond, the vaginal opening, affects 40% of postmenopausal women and significantly impairs quality of life. POP is often managed surgically, and currently, one in every eight women will undergo POP surgery during her lifetime.

A commonly performed procedure for POP is a sacrospinous ligament fixation (SSLF), which is a vaginal surgery that involves suspending the vaginal apex to the sacrospinous ligament suspension with sutures. Beyond routine postoperative pain, a sacrospinous ligament fixation may result in significant gluteal pain as a result of the vaginal sutures affecting/impinging on the sacral nerve roots. Unfortunately, postoperative gluteal pain is not uncommon with 12% of patients reporting significant gluteal pain and 4% having persistent pain 6 weeks after surgery.

This study aims to compare the impact of gabapentin versus placebo on postoperative pain after SSLF. The rationale is that studies have shown that preoperative gabapentin, a non-opioid analgesic, resulted in a lower narcotic use postoperatively. Decreasing the use of standard of care postoperative narcotic pain medications would also decrease adverse events due to narcotics such as nausea, vomiting, and constipation, and potentially decrease the long-term risk of opioid dependence. As an additional benefit, a careful assessment of actual opioid will help to inform best practices for prescribing, as we may be overprescribing narcotic medications for this type of surgery. This study will evaluate a longer two-week course of gabapentin because it is currently standard of care to use gabapentin to treat neuropathic pain after SSLF; thus, gabapentin may help to address overall pain as well as neuropathic gluteal pain that can occur after SSLF. Furthermore, gabapentin is a relatively safe medication with the primary adverse events being dizziness and sedation.

Given the risk of overall postoperative pain and neuropathic gluteal pain after a sacrospinous ligament fixation for POP and the evidence that perioperative gabapentin may decrease acute pain and neuropathic pain, this study proposes a novel randomized trial to compare perioperative gabapentin versus placebo on postoperative pain after a vaginal SSLF surgery."
13,NCT03123861,Worst Pain (Surgical Pain Scale Item 4),Secondary,['Pelvic Organ Prolapse'],Pelvic Organ Prolapse,Randomized Controlled Trial of Gabapentin Versus Placebo for Postoperative Pain After Sacrospinous Ligament Fixation for Pelvic Organ Prolapse,"Pelvic organ prolapse (POP), the herniation of the bladder, uterus, or rectum, into and often beyond, the vaginal opening, affects 40% of postmenopausal women and significantly impairs quality of life. POP is often managed surgically, and currently, one in every eight women will undergo POP surgery during her lifetime.

A commonly performed procedure for POP is a sacrospinous ligament fixation (SSLF), which is a vaginal surgery that involves suspending the vaginal apex to the sacrospinous ligament suspension with sutures. Beyond routine postoperative pain, a sacrospinous ligament fixation may result in significant gluteal pain as a result of the vaginal sutures affecting/impinging on the sacral nerve roots. Unfortunately, postoperative gluteal pain is not uncommon with 12% of patients reporting significant gluteal pain and 4% having persistent pain 6 weeks after surgery.

This study aims to compare the impact of gabapentin versus placebo on postoperative pain after SSLF. The rationale is that studies have shown that preoperative gabapentin, a non-opioid analgesic, resulted in a lower narcotic use postoperatively. Decreasing the use of standard of care postoperative narcotic pain medications would also decrease adverse events due to narcotics such as nausea, vomiting, and constipation, and potentially decrease the long-term risk of opioid dependence. As an additional benefit, a careful assessment of actual opioid will help to inform best practices for prescribing, as we may be overprescribing narcotic medications for this type of surgery. This study will evaluate a longer two-week course of gabapentin because it is currently standard of care to use gabapentin to treat neuropathic pain after SSLF; thus, gabapentin may help to address overall pain as well as neuropathic gluteal pain that can occur after SSLF. Furthermore, gabapentin is a relatively safe medication with the primary adverse events being dizziness and sedation.

Given the risk of overall postoperative pain and neuropathic gluteal pain after a sacrospinous ligament fixation for POP and the evidence that perioperative gabapentin may decrease acute pain and neuropathic pain, this study proposes a novel randomized trial to compare perioperative gabapentin versus placebo on postoperative pain after a vaginal SSLF surgery."
14,NCT03123861,Daily Narcotic Use,Secondary,['Pelvic Organ Prolapse'],Pelvic Organ Prolapse,Randomized Controlled Trial of Gabapentin Versus Placebo for Postoperative Pain After Sacrospinous Ligament Fixation for Pelvic Organ Prolapse,"Pelvic organ prolapse (POP), the herniation of the bladder, uterus, or rectum, into and often beyond, the vaginal opening, affects 40% of postmenopausal women and significantly impairs quality of life. POP is often managed surgically, and currently, one in every eight women will undergo POP surgery during her lifetime.

A commonly performed procedure for POP is a sacrospinous ligament fixation (SSLF), which is a vaginal surgery that involves suspending the vaginal apex to the sacrospinous ligament suspension with sutures. Beyond routine postoperative pain, a sacrospinous ligament fixation may result in significant gluteal pain as a result of the vaginal sutures affecting/impinging on the sacral nerve roots. Unfortunately, postoperative gluteal pain is not uncommon with 12% of patients reporting significant gluteal pain and 4% having persistent pain 6 weeks after surgery.

This study aims to compare the impact of gabapentin versus placebo on postoperative pain after SSLF. The rationale is that studies have shown that preoperative gabapentin, a non-opioid analgesic, resulted in a lower narcotic use postoperatively. Decreasing the use of standard of care postoperative narcotic pain medications would also decrease adverse events due to narcotics such as nausea, vomiting, and constipation, and potentially decrease the long-term risk of opioid dependence. As an additional benefit, a careful assessment of actual opioid will help to inform best practices for prescribing, as we may be overprescribing narcotic medications for this type of surgery. This study will evaluate a longer two-week course of gabapentin because it is currently standard of care to use gabapentin to treat neuropathic pain after SSLF; thus, gabapentin may help to address overall pain as well as neuropathic gluteal pain that can occur after SSLF. Furthermore, gabapentin is a relatively safe medication with the primary adverse events being dizziness and sedation.

Given the risk of overall postoperative pain and neuropathic gluteal pain after a sacrospinous ligament fixation for POP and the evidence that perioperative gabapentin may decrease acute pain and neuropathic pain, this study proposes a novel randomized trial to compare perioperative gabapentin versus placebo on postoperative pain after a vaginal SSLF surgery."
15,NCT01623271,Visual Analog Scale (VAS) at Visit 3,Primary,['Complex Regional Pain Syndrome I (CRPS I)'],Complex Regional Pain Syndrome I (CRPS I),Treatment of Complex Regional Pain Syndrome With Once Daily Gastric-Retentive Gabapentin (Gralise),"This research is being conducted to see if the drug Gralise can help people with Complex Regional Pain Syndrom Type I (CRPS I) without causing too many side effects. CRPS I is one of the most common conditions of neuropathic pain (pain that results from damage to nerves in the peripheral nervous system). Gralise is approved by the U.S. Food and Drug Administration (FDA) to treat postherpetic neuralgia (a complication of the disease Shingles, which is caused by the chickenpox virus), but is not approved to treat CRPS I."
16,NCT03053427,Change From Baseline in International Restless Legs Syndrome Rating Scale (IRLS) Score at Week 12,Primary,['Restless Legs Syndrome (RLS)'],Restless Legs Syndrome (RLS),"Gabapentin Enacarbil Post-marketing Clinical Study A Randomized, Double-blind, Placebo-controlled, Parallel-group Study in Subjects With Restless Legs Syndrome.","After 1 week run in period with single-blind placebo, participants meeting the inclusion and none of the exclusion criteria were randomized to receive double-blind treatment with either gabapentin enacarbil 600 mg or placebo for 12 weeks treatment period. After then, single-blind placebo was given for 1 week for follow-up observation."
17,NCT03053427,Change From Baseline in IRLS Score at Each Time Point,Secondary,['Restless Legs Syndrome (RLS)'],Restless Legs Syndrome (RLS),"Gabapentin Enacarbil Post-marketing Clinical Study A Randomized, Double-blind, Placebo-controlled, Parallel-group Study in Subjects With Restless Legs Syndrome.","After 1 week run in period with single-blind placebo, participants meeting the inclusion and none of the exclusion criteria were randomized to receive double-blind treatment with either gabapentin enacarbil 600 mg or placebo for 12 weeks treatment period. After then, single-blind placebo was given for 1 week for follow-up observation."
18,NCT03053427,Percentage of Participants With an Investigator-rated Clinical Global Impression (ICGI) Response,Secondary,['Restless Legs Syndrome (RLS)'],Restless Legs Syndrome (RLS),"Gabapentin Enacarbil Post-marketing Clinical Study A Randomized, Double-blind, Placebo-controlled, Parallel-group Study in Subjects With Restless Legs Syndrome.","After 1 week run in period with single-blind placebo, participants meeting the inclusion and none of the exclusion criteria were randomized to receive double-blind treatment with either gabapentin enacarbil 600 mg or placebo for 12 weeks treatment period. After then, single-blind placebo was given for 1 week for follow-up observation."
19,NCT03053427,Percentage of Participants With a Patient-rated Clinical Global Impression (PCGI) Response,Secondary,['Restless Legs Syndrome (RLS)'],Restless Legs Syndrome (RLS),"Gabapentin Enacarbil Post-marketing Clinical Study A Randomized, Double-blind, Placebo-controlled, Parallel-group Study in Subjects With Restless Legs Syndrome.","After 1 week run in period with single-blind placebo, participants meeting the inclusion and none of the exclusion criteria were randomized to receive double-blind treatment with either gabapentin enacarbil 600 mg or placebo for 12 weeks treatment period. After then, single-blind placebo was given for 1 week for follow-up observation."
20,NCT03053427,Change From Baseline in Pittsburgh Sleep Quality Index Total Score (PSQI),Secondary,['Restless Legs Syndrome (RLS)'],Restless Legs Syndrome (RLS),"Gabapentin Enacarbil Post-marketing Clinical Study A Randomized, Double-blind, Placebo-controlled, Parallel-group Study in Subjects With Restless Legs Syndrome.","After 1 week run in period with single-blind placebo, participants meeting the inclusion and none of the exclusion criteria were randomized to receive double-blind treatment with either gabapentin enacarbil 600 mg or placebo for 12 weeks treatment period. After then, single-blind placebo was given for 1 week for follow-up observation."
21,NCT03053427,Change From Baseline in Athens Insomnia Scale,Secondary,['Restless Legs Syndrome (RLS)'],Restless Legs Syndrome (RLS),"Gabapentin Enacarbil Post-marketing Clinical Study A Randomized, Double-blind, Placebo-controlled, Parallel-group Study in Subjects With Restless Legs Syndrome.","After 1 week run in period with single-blind placebo, participants meeting the inclusion and none of the exclusion criteria were randomized to receive double-blind treatment with either gabapentin enacarbil 600 mg or placebo for 12 weeks treatment period. After then, single-blind placebo was given for 1 week for follow-up observation."
22,NCT03053427,Change From Baseline in Restless Legs Syndrome (RLS) Pain Score,Secondary,['Restless Legs Syndrome (RLS)'],Restless Legs Syndrome (RLS),"Gabapentin Enacarbil Post-marketing Clinical Study A Randomized, Double-blind, Placebo-controlled, Parallel-group Study in Subjects With Restless Legs Syndrome.","After 1 week run in period with single-blind placebo, participants meeting the inclusion and none of the exclusion criteria were randomized to receive double-blind treatment with either gabapentin enacarbil 600 mg or placebo for 12 weeks treatment period. After then, single-blind placebo was given for 1 week for follow-up observation."
23,NCT00755417,Change From Baseline in Average Daily Frequency of Hot Flashes After 4 Weeks of Treatment With Daily Doses of G-ER 1200 mg or G-ER 1800 mg Compared to Placebo,Primary,['Hot Flashes'],Hot Flashes,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women","The primary study objective is to assess the efficacy of G-ER dosed in either of the following regimens:

G-ER 1200 mg daily (single evening dose)
G-ER 1800 mg daily (dosed asymmetrically; 600 mg in AM/1200 mg in PM) compared to placebo in reducing the average daily frequency and severity score of moderate to severe hot flashes in postmenopausal women after 4 weeks and 12 weeks of treatment with a stable dose, compared with the baseline week."
